Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
ROUGH RICE - CHICAGO BOARD OF TRADE,230214,2/14/2023,039601,CBT ,00,039 ,7371,3776,4097,0,0,0,954,1344,21,827,648,149,5727,6259,1644,1112,5547,2096,2411,0,0,0,975,1344,0,816,648,119,4006,4522,1541,1025,1824,1680,1686,0,0,0,0,21,0,11,0,30,1721,1737,103,87,125,31,301,0,0,0,-52,-64,-10,-50,-110,52,-29,169,154,-44,100,51.2,55.6,0,0,0,12.9,18.2,0.3,11.2,8.8,2,77.7,84.9,22.3,15.1,100,37.8,43.5,0,0,0,17.6,24.2,0,14.7,11.7,2.1,72.2,81.5,27.8,18.5,100,92.1,92.4,0,0,0,0,1.2,0,0.6,0,1.6,94.4,95.2,5.6,4.8,46,10,18,0,0,0,6,6,,9,5,4,26,33,46,9,17,0,0,0,6,6,0,9,5,4,25,31,16,4,9,0,0,0,0,,0,,0,,6,12,48,41.6,58.4,57.5,47.7,41.1,57.5,56.2,36.4,35.3,48.5,54,36.1,34.6,47.6,52.2,92.8,86.8,94.4,93.5,92.1,86.8,92.7,93.1,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230207,2/7/2023,039601,CBT ,00,039 ,7246,3745,3796,0,0,0,1006,1408,31,877,758,97,5756,6090,1490,1156,5748,2378,2376,0,0,0,1027,1408,10,874,758,88,4377,4640,1371,1108,1498,1367,1420,0,0,0,0,21,0,5,2,7,1379,1450,119,48,-450,383,-521,0,0,0,-543,142,9,-90,-196,-9,-250,-575,-200,125,100,51.7,52.4,0,0,0,13.9,19.4,0.4,12.1,10.5,1.3,79.4,84,20.6,16,100,41.4,41.3,0,0,0,17.9,24.5,0.2,15.2,13.2,1.5,76.1,80.7,23.9,19.3,100,91.3,94.8,0,0,0,0,1.4,0,0.3,0.1,0.5,92.1,96.8,7.9,3.2,52,12,17,0,0,0,7,7,,10,6,,30,34,52,11,15,0,0,0,7,7,,10,6,,29,30,16,,10,0,0,0,0,,0,,,,4,13,47.6,38.6,58.9,54.5,47.2,38.4,57.5,53,37.5,33.4,50.7,50.2,37.1,33.3,49.7,48.7,92.1,88.8,92.1,95.5,91.6,88.8,91.6,95.5,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230131,1/31/2023,039601,CBT ,00,039 ,7696,3362,4317,0,0,0,1549,1266,22,967,954,106,6006,6665,1690,1031,6273,2069,2966,0,0,0,1570,1266,1,959,954,101,4700,5288,1573,985,1423,1293,1351,0,0,0,0,21,0,8,0,5,1306,1377,117,46,21,-262,21,0,0,0,184,-27,0,24,4,-12,-66,-14,87,35,100,43.7,56.1,0,0,0,20.1,16.5,0.3,12.6,12.4,1.4,78,86.6,22,13.4,100,33,47.3,0,0,0,25,20.2,0,15.3,15.2,1.6,74.9,84.3,25.1,15.7,100,90.9,94.9,0,0,0,0,1.5,0,0.6,0,0.4,91.8,96.8,8.2,3.2,55,11,16,0,0,0,10,5,,11,8,5,34,34,55,10,15,0,0,0,10,5,,11,8,5,33,32,16,,10,0,0,0,0,,0,,0,,5,13,44.4,39.9,54.5,55.1,44.2,39.7,54.2,54.6,34.7,35,46.5,50.4,34.7,34.8,46.5,49.5,91.6,88.6,91.8,95.6,91.4,88.6,91.4,95.6,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230124,1/24/2023,039601,CBT ,00,039 ,7675,3624,4296,0,0,0,1365,1293,22,943,950,118,6072,6679,1603,996,6402,2473,3094,0,0,0,1386,1293,1,937,963,105,4902,5456,1500,946,1273,1151,1202,0,0,0,0,21,0,19,0,0,1170,1223,103,50,54,34,55,0,0,0,82,7,-44,-27,14,21,66,53,-12,1,100,47.2,56,0,0,0,17.8,16.8,0.3,12.3,12.4,1.5,79.1,87,20.9,13,100,38.6,48.3,0,0,0,21.6,20.2,0,14.6,15,1.6,76.6,85.2,23.4,14.8,100,90.4,94.4,0,0,0,0,1.6,0,1.5,0,0,91.9,96.1,8.1,3.9,53,12,14,0,0,0,9,5,,10,9,5,34,32,53,11,13,0,0,0,9,5,,9,10,5,33,30,16,4,9,0,0,0,0,,0,,0,0,6,10,46.3,41.3,56.6,55.6,46,41.1,56.4,54.8,38.3,37.6,50.3,52.2,38.3,37.4,50.3,51.4,90.7,91.7,91.9,95.6,90.7,91.7,91.9,95.6,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230117,1/17/2023,039601,CBT ,00,039 ,7621,3590,4241,0,0,0,1283,1286,66,970,936,97,6006,6626,1615,995,6547,2628,3218,0,0,0,1304,1286,45,961,937,96,5034,5582,1513,965,1074,962,1023,0,0,0,0,21,0,10,0,0,972,1044,102,30,135,-1,32,0,0,0,159,56,-53,-17,47,5,93,87,42,48,100,47.1,55.6,0,0,0,16.8,16.9,0.9,12.7,12.3,1.3,78.8,86.9,21.2,13.1,100,40.1,49.2,0,0,0,19.9,19.6,0.7,14.7,14.3,1.5,76.9,85.3,23.1,14.7,100,89.6,95.3,0,0,0,0,2,0,0.9,0,0,90.5,97.2,9.5,2.8,51,13,12,0,0,0,9,5,,10,7,4,34,28,51,11,12,0,0,0,9,5,,9,8,4,32,27,14,6,5,0,0,0,0,,0,,0,0,8,6,48.2,43.5,57,57.8,48,42.6,56.8,56.8,42.2,40.9,52.1,55.4,42.2,40.1,52.1,54.6,89.3,95.6,90.5,97.2,89.3,95.6,90.5,97.2,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230110,1/10/2023,039601,CBT ,00,039 ,7486,3591,4209,0,0,0,1124,1230,119,987,889,92,5913,6539,1573,947,6492,2676,3236,0,0,0,1124,1230,119,983,889,92,4994,5566,1498,926,994,915,973,0,0,0,0,0,0,4,0,0,919,973,75,21,24,-118,-85,0,0,0,-267,-27,-15,324,27,-9,-85,-109,109,133,100,48,56.2,0,0,0,15,16.4,1.6,13.2,11.9,1.2,79,87.3,21,12.7,100,41.2,49.8,0,0,0,17.3,18.9,1.8,15.1,13.7,1.4,76.9,85.7,23.1,14.3,100,92.1,97.9,0,0,0,0,0,0,0.4,0,0,92.5,97.9,7.5,2.1,51,13,13,0,0,0,7,5,,11,7,5,35,27,51,11,13,0,0,0,7,5,,11,7,5,33,27,13,6,5,0,0,0,0,0,0,,0,0,8,5,48.6,43.1,58,57.3,48.6,41.1,58,55.2,43.2,40.4,53.2,54.9,43.2,38.4,53.2,52.9,91.2,97.4,92.5,97.9,91.2,97.4,92.5,97.9,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
ROUGH RICE - CHICAGO BOARD OF TRADE,230103,1/3/2023,039601,CBT ,00,039 ,7462,3709,4294,0,0,0,1391,1257,134,663,862,101,5998,6648,1464,814,6602,2895,3444,0,0,0,1391,1257,134,662,863,100,5182,5798,1420,804,860,814,850,0,0,0,0,0,0,2,0,0,816,850,44,10,-282,-762,154,0,0,0,474,-70,21,55,-53,-55,-267,-3,-15,-279,100,49.7,57.5,0,0,0,18.6,16.8,1.8,8.9,11.6,1.4,80.4,89.1,19.6,10.9,100,43.9,52.2,0,0,0,21.1,19,2,10,13.1,1.5,78.5,87.8,21.5,12.2,100,94.7,98.8,0,0,0,0,0,0,0.2,0,0,94.9,98.8,5.1,1.2,54,12,17,0,0,0,9,6,,7,9,4,33,32,54,10,17,0,0,0,9,6,,7,9,4,31,32,11,6,,0,0,0,0,0,0,,0,0,8,,47,42,58.1,56,47,39.9,58.1,53.6,42.2,39.4,54,53.5,42.2,37.2,54,51.2,93.7,98.8,94.9,98.8,93.7,98.8,94.9,98.8,"(CONTRACTS OF 200,000 POUNDS)",A10,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230228,2/28/2023,040701,ICUS,01,040 ,11290,1246,8291,1363,0,2,5632,308,0,667,763,219,9129,9583,2161,1707,11284,1246,8291,1363,0,2,5632,308,0,667,768,214,9124,9583,2160,1701,6,0,0,0,0,0,0,0,0,5,0,0,5,0,1,6,-517,-429,-423,-1,-52,0,304,-3,-4,-21,170,-37,-188,-349,-329,-168,100,11,73.4,12.1,0,0,49.9,2.7,0,5.9,6.8,1.9,80.9,84.9,19.1,15.1,100,11,73.5,12.1,0,0,49.9,2.7,0,5.9,6.8,1.9,80.9,84.9,19.1,15.1,100,0,0,0,0,0,0,0,0,83.3,0,0,83.3,0,16.7,100,55,7,10,4,0,,23,,0,5,8,4,42,22,55,7,10,4,0,,23,,0,5,8,4,42,22,,0,0,0,0,0,0,0,0,,0,0,,0,23.5,59,36.2,74.2,23.5,52.1,35,66.1,23.5,59,36.3,74.2,23.5,52.1,35,66.2,83.3,0,83.3,0,83.3,0,83.3,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230221,2/21/2023,040701,ICUS,01,040 ,11807,1675,8714,1364,52,2,5328,311,4,688,593,256,9317,9932,2490,1875,11807,1675,8714,1364,52,2,5328,311,4,688,593,256,9317,9932,2490,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,620,766,-3,-86,-4,110,0,-17,6,-346,-294,418,19,-120,279,100,14.2,73.8,11.6,0.4,0,45.1,2.6,0,5.8,5,2.2,78.9,84.1,21.1,15.9,100,14.2,73.8,11.6,0.4,0,45.1,2.6,0,5.8,5,2.2,78.9,84.1,21.1,15.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,10,4,,,21,,,5,7,4,42,23,54,9,10,4,,,21,,,5,7,4,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,56.9,34.9,73.2,21.3,51.4,32.3,63.1,21.7,56.9,34.9,73.2,21.3,51.4,32.3,63.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230214,2/14/2023,040701,ICUS,01,040 ,11509,1055,7948,1367,138,6,5218,311,21,682,939,550,8899,9913,2610,1596,11509,1055,7948,1367,138,6,5218,311,21,682,939,550,8899,9913,2610,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1683,-119,-897,-44,-45,-38,-1263,0,-147,-17,-192,130,-1498,-1189,-185,-494,100,9.2,69.1,11.9,1.2,0.1,45.3,2.7,0.2,5.9,8.2,4.8,77.3,86.1,22.7,13.9,100,9.2,69.1,11.9,1.2,0.1,45.3,2.7,0.2,5.9,8.2,4.8,77.3,86.1,22.7,13.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,12,4,,,19,,,4,10,6,43,27,55,8,12,4,,,19,,,4,10,6,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,52,33.9,66.6,21,48.1,32.6,60.9,21.4,52,33.9,66.6,21,48.1,32.6,60.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230207,2/7/2023,040701,ICUS,01,040 ,13192,1174,8845,1411,183,44,6481,311,168,699,1131,420,10397,11102,2795,2090,13192,1174,8845,1411,183,44,6481,311,168,699,1131,420,10397,11102,2795,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,61,-1097,-13,-12,-6,-284,311,86,-75,107,190,-41,-421,157,537,100,8.9,67,10.7,1.4,0.3,49.1,2.4,1.3,5.3,8.6,3.2,78.8,84.2,21.2,15.8,100,8.9,67,10.7,1.4,0.3,49.1,2.4,1.3,5.3,8.6,3.2,78.8,84.2,21.2,15.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,14,4,,,28,,4,5,9,4,51,32,66,9,14,4,,,28,,4,5,9,4,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,48,33.9,61.1,20.2,42.8,31.2,54.6,22.5,48,33.9,61.1,20.2,42.8,31.2,54.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230131,1/31/2023,040701,ICUS,01,040 ,13076,1113,9942,1424,195,50,6765,0,82,774,1024,230,10438,11523,2638,1553,13076,1113,9942,1424,195,50,6765,0,82,774,1024,230,10438,11523,2638,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,-9,870,2,-26,6,684,0,10,51,197,26,770,1083,270,-43,100,8.5,76,10.9,1.5,0.4,51.7,0,0.6,5.9,7.8,1.8,79.8,88.1,20.2,11.9,100,8.5,76,10.9,1.5,0.4,51.7,0,0.6,5.9,7.8,1.8,79.8,88.1,20.2,11.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6,13,4,,4,28,0,,6,13,5,51,32,70,6,13,4,,4,28,0,,6,13,5,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52.3,35.9,69.5,21.6,46.5,32.5,63.3,24,52.3,35.9,69.5,21.6,46.5,32.5,63.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230124,1/24/2023,040701,ICUS,01,040 ,12036,1122,9072,1422,221,44,6081,0,72,723,827,204,9668,10440,2368,1596,12036,1122,9072,1422,221,44,6081,0,72,723,827,204,9668,10440,2368,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,284,190,-338,84,-45,29,0,-8,-60,-242,7,-131,-14,78,-39,100,9.3,75.4,11.8,1.8,0.4,50.5,0,0.6,6,6.9,1.7,80.3,86.7,19.7,13.3,100,9.3,75.4,11.8,1.8,0.4,50.5,0,0.6,6,6.9,1.7,80.3,86.7,19.7,13.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7,11,4,,,25,0,,4,10,,45,28,62,7,11,4,,,25,0,,4,10,,45,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,53.2,38.5,72.7,23.4,47.2,34.8,66.5,25.8,53.2,38.5,72.7,23.4,47.2,34.8,66.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230117,1/17/2023,040701,ICUS,01,040 ,12089,838,8882,1760,137,89,6052,0,80,783,1069,197,9799,10454,2290,1635,12089,838,8882,1760,137,89,6052,0,80,783,1069,197,9799,10454,2290,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,122,244,-47,26,10,362,0,-5,60,29,-13,489,291,84,282,100,6.9,73.5,14.6,1.1,0.7,50.1,0,0.7,6.5,8.8,1.6,81.1,86.5,18.9,13.5,100,6.9,73.5,14.6,1.1,0.7,50.1,0,0.7,6.5,8.8,1.6,81.1,86.5,18.9,13.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,12,6,,,25,0,,5,10,4,50,30,66,9,12,6,,,25,0,,5,10,4,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,49.5,36.4,70.7,23.3,47.4,36,67.5,23.3,49.5,36.4,70.7,23.3,47.4,36,67.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230110,1/10/2023,040701,ICUS,01,040 ,11516,716,8638,1807,111,79,5690,0,85,723,1040,210,9310,10163,2206,1353,11516,716,8638,1807,111,79,5690,0,85,723,1040,210,9310,10163,2206,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,48,241,-32,4,2,287,0,14,-37,31,145,427,437,63,53,100,6.2,75,15.7,1,0.7,49.4,0,0.7,6.3,9,1.8,80.8,88.3,19.2,11.7,100,6.2,75,15.7,1,0.7,49.4,0,0.7,6.3,9,1.8,80.8,88.3,19.2,11.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,10,11,6,,,25,0,,4,10,4,50,29,65,10,11,6,,,25,0,,4,10,4,50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51.4,35.1,73.3,22,51.4,35,72.2,22,51.4,35.1,73.3,22,51.4,35,72.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,230103,1/3/2023,040701,ICUS,01,040 ,11026,668,8397,1839,107,77,5403,0,71,760,1009,65,8883,9726,2143,1300,11026,668,8397,1839,107,77,5403,0,71,760,1009,65,8883,9726,2143,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-23,39,9,0,-7,79,-124,-5,26,93,61,140,57,-119,-36,100,6.1,76.2,16.7,1,0.7,49,0,0.6,6.9,9.2,0.6,80.6,88.2,19.4,11.8,100,6.1,76.2,16.7,1,0.7,49,0,0.6,6.9,9.2,0.6,80.6,88.2,19.4,11.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,9,10,6,,,24,0,,4,10,,47,24,63,9,10,6,,,24,0,,4,10,,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,53.7,35.4,75.7,22.4,53.7,35.4,75.4,22.4,53.7,35.4,75.7,22.4,53.7,35.4,75.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 15,000 POUNDS)",A50,FutOnly
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,050642,CME ,00,050 ,9873,7942,3354,891,2996,310,106,340,32,0,2476,78,9359,9586,514,287,9873,7942,3354,891,2996,310,106,340,32,0,2476,78,9359,9586,514,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,320,76,24,191,-23,41,-3,8,0,140,0,370,389,2,-17,100,80.4,34,9,30.3,3.1,1.1,3.4,0.3,0,25.1,0.8,94.8,97.1,5.2,2.9,100,80.4,34,9,30.3,3.1,1.1,3.4,0.3,0,25.1,0.8,94.8,97.1,5.2,2.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25,17,,4,4,,,,0,6,4,37,29,46,25,17,,4,4,,,,0,6,4,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,44,68.6,64.2,43,42.3,68,60.8,43.6,44,68.6,64.2,43,42.3,68,60.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 20,000 POUNDS)",A25,FutOnly
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,050642,CME ,00,050 ,9501,7622,3278,867,2805,333,65,343,24,0,2336,78,8989,9197,512,304,9501,7622,3278,867,2805,333,65,343,24,0,2336,78,8989,9197,512,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,220,107,0,-51,37,2,10,-9,0,112,-19,231,187,-13,31,100,80.2,34.5,9.1,29.5,3.5,0.7,3.6,0.3,0,24.6,0.8,94.6,96.8,5.4,3.2,100,80.2,34.5,9.1,29.5,3.5,0.7,3.6,0.3,0,24.6,0.8,94.6,96.8,5.4,3.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,17,,4,4,,,,0,6,4,36,29,45,25,17,,4,4,,,,0,6,4,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,42.7,68,63.5,42.8,40.7,67.4,59.7,43.4,42.7,68,63.5,42.8,40.7,67.4,59.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 20,000 POUNDS)",A25,FutOnly
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,050642,CME ,00,050 ,9283,7402,3171,867,2856,296,63,333,33,0,2224,97,8758,9010,525,273,9283,7402,3171,867,2856,296,63,333,33,0,2224,97,8758,9010,525,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,525,596,31,-68,29,63,0,1,0,23,31,680,612,-15,53,100,79.7,34.2,9.3,30.8,3.2,0.7,3.6,0.4,0,24,1,94.3,97.1,5.7,2.9,100,79.7,34.2,9.3,30.8,3.2,0.7,3.6,0.4,0,24,1,94.3,97.1,5.7,2.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,23,18,,4,4,,,,0,6,6,36,30,45,23,18,,4,4,,,,0,6,6,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42.5,67.8,64.1,43.5,40.5,67.4,60.4,44,42.5,67.8,64.1,43.5,40.5,67.4,60.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 20,000 POUNDS)",A25,FutOnly
